ruleId,ruleName,severity,precision,cwe,file,startLine,startColumn,endLine,endColumn,message,helpUri,contextStart,contextEnd,snippet
cpp/invalid-pointer-deref,cpp/invalid-pointer-deref,9.3,medium,"CWE-119,CWE-125,CWE-193,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/libdecnumber/decNumber.c,4619,11,4619,19,"This read might be out of bounds, as the pointer might be equal to [call to malloc](1) + [acclength](2).",,4614,4624,"	/* Had an exact division; clean up spurious trailing 0s. */
	/* There will be at most DECDPUN-1, from the final multiply, */
	/* and then only if the result is non-0 (and even) and the */
	/* exponent is 'loose'. */
	#if DECDPUN>1
	Unit lsu=*accnext;
	if (!(lsu&0x01) && (lsu!=0)) {
	  /* count the trailing zeros */
	  Int drop=0;
	  for (;; drop++) {    /* [will terminate because lsu!=0] */
	    if (exponent>=maxexponent) break;	  /* don't chop real 0s */"
cpp/invalid-pointer-deref,cpp/invalid-pointer-deref,9.3,medium,"CWE-119,CWE-125,CWE-193,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/libdecnumber/decNumber.c,4674,6,4674,14,"This read might be out of bounds, as the pointer might be equal to [call to malloc](1) + [acclength](2).",,4669,4679,"	  res->bits=(uByte)(bits&DECNEG);	   /* [cleaned] */
	  decFinish(res, set, &residue, status);   /* might clamp */
	  break;
	  }
	/* note if the quotient was odd */
	if (*accnext & 0x01) wasodd=1;	     /* acc is odd */
	quotlsu=accnext;		     /* save in case need to reinspect */
	quotdigits=accdigits;		     /* .. */

	/* treat the residue, in var1, as the value to return, via acc */
	/* calculate the unused zero digits.  This is the smaller of: */"
cpp/offset-use-before-range-check,cpp/offset-use-before-range-check,8.2,medium,"CWE-120,CWE-125",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/readline/readline/bind.c,2680,20,2680,31,This use of offset 'j' should follow the [range check](1).,,2675,2685,"	    {
	      register int j;

	      fprintf (rl_outstream, ""%s can be found on "", name);

	      for (j = 0; invokers[j] && j < 5; j++)
		{
		  fprintf (rl_outstream, ""\""%s\""%s"", invokers[j],
			   invokers[j + 1] ? "", "" : "".\n"");
		}
"
cpp/offset-use-before-range-check,cpp/offset-use-before-range-check,8.2,medium,"CWE-120,CWE-125",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/readline/readline/vi_mode.c,1884,35,1884,59,This use of offset 'rl_point' should follow the [range check](1).,,1879,1889,"	      if (pre == rl_point)
		break;
	    }
	}
      else
	while ((brack = rl_vi_bracktype (rl_line_buffer[rl_point])) == 0 &&
		rl_point < rl_end - 1)
	  rl_forward_char (1, key);

      if (brack <= 0)
	{"
local.oob.memfunc.length-misuse.maxcover.v5,local.oob.memfunc.length-misuse.maxcover.v5,warning,low,"CWE-120,CWE-125,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/bfd/conftest.c,258,7,258,11,High-coverage OOB risk: length/count may be unbounded for read().,,0,0,
local.oob.memfunc.length-misuse.maxcover.v5,local.oob.memfunc.length-misuse.maxcover.v5,warning,low,"CWE-120,CWE-125,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/binutils/conftest.c,214,7,214,11,High-coverage OOB risk: length/count may be unbounded for read().,,0,0,
local.oob.memfunc.length-misuse.maxcover.v5,local.oob.memfunc.length-misuse.maxcover.v5,warning,low,"CWE-120,CWE-125,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/gnulib/conftest.c,189,11,189,18,High-coverage OOB risk: length/count may be unbounded for strncmp().,,0,0,
local.oob.memfunc.length-misuse.maxcover.v5,local.oob.memfunc.length-misuse.maxcover.v5,warning,low,"CWE-120,CWE-125,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/gnulib/conftest.c,190,14,190,21,High-coverage OOB risk: length/count may be unbounded for strncmp().,,0,0,
local.oob.memfunc.length-misuse.maxcover.v5,local.oob.memfunc.length-misuse.maxcover.v5,warning,low,"CWE-120,CWE-125,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/gnulib/conftest.c,191,14,191,21,High-coverage OOB risk: length/count may be unbounded for strncmp().,,0,0,
local.oob.memfunc.length-misuse.maxcover.v5,local.oob.memfunc.length-misuse.maxcover.v5,warning,low,"CWE-120,CWE-125,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/gnulib/conftest.c,192,14,192,21,High-coverage OOB risk: length/count may be unbounded for strncmp().,,0,0,
local.oob.memfunc.length-misuse.maxcover.v5,local.oob.memfunc.length-misuse.maxcover.v5,warning,low,"CWE-120,CWE-125,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/gnulib/conftest.c,193,14,193,21,High-coverage OOB risk: length/count may be unbounded for strncmp().,,0,0,
local.oob.memfunc.length-misuse.maxcover.v5,local.oob.memfunc.length-misuse.maxcover.v5,warning,low,"CWE-120,CWE-125,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/gnulib/conftest.c,194,14,194,21,High-coverage OOB risk: length/count may be unbounded for strncmp().,,0,0,
local.oob.memfunc.length-misuse.maxcover.v5,local.oob.memfunc.length-misuse.maxcover.v5,warning,low,"CWE-120,CWE-125,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/gnulib/conftest.c,143,3,143,9,High-coverage OOB risk: length/count may be unbounded for memset().,,0,0,
local.oob.memfunc.length-misuse.maxcover.v5,local.oob.memfunc.length-misuse.maxcover.v5,warning,low,"CWE-120,CWE-125,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/gnulib/conftest.c,236,9,236,15,High-coverage OOB risk: length/count may be unbounded for memset().,,0,0,
local.oob.memfunc.length-misuse.maxcover.v5,local.oob.memfunc.length-misuse.maxcover.v5,warning,low,"CWE-120,CWE-125,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/gnulib/conftest.c,238,9,238,15,High-coverage OOB risk: length/count may be unbounded for memset().,,0,0,
local.oob.memfunc.length-misuse.maxcover.v5,local.oob.memfunc.length-misuse.maxcover.v5,warning,low,"CWE-120,CWE-125,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/bfd/doc/chew.c,233,3,233,9,High-coverage OOB risk: length/count may be unbounded for memcpy().,,228,238,"    {
      while (buffer->write_idx + len >= buffer->size)
	buffer->size *= 2;
      buffer->ptr = (char *) realloc (buffer->ptr, buffer->size);
    }
  memcpy (buffer->ptr + buffer->write_idx, buf, len);
  buffer->write_idx += len;
}

static void
cattext (buffer, string)"
local.oob.memfunc.length-misuse.maxcover.v5,local.oob.memfunc.length-misuse.maxcover.v5,warning,low,"CWE-120,CWE-125,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/gnulib/conftest.c,176,27,176,31,High-coverage OOB risk: length/count may be unbounded for read().,,0,0,
local.oob.memfunc.length-misuse.maxcover.v5,local.oob.memfunc.length-misuse.maxcover.v5,warning,low,"CWE-120,CWE-125,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/gnulib/conftest.c,170,9,170,15,High-coverage OOB risk: length/count may be unbounded for memcmp().,,0,0,
local.oob.memfunc.length-misuse.maxcover.v5,local.oob.memfunc.length-misuse.maxcover.v5,warning,low,"CWE-120,CWE-125,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/gnulib/conftest.c,283,9,283,15,High-coverage OOB risk: length/count may be unbounded for memset().,,0,0,
local.oob.memfunc.length-misuse.maxcover.v5,local.oob.memfunc.length-misuse.maxcover.v5,warning,low,"CWE-120,CWE-125,CWE-787",/mnt/WorkDrive/SAILR/dataset/19910/binutils_19910_fix/gnulib/conftest.c,286,9,286,15,High-coverage OOB risk: length/count may be unbounded for memset().,,0,0,
